base_scenario,n_replicates,n_finished_target,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T,fraction_t_zone_binomial_p_value_below_0p05,total_time_for_analyzed_1000_deaths_after_burnin_mean,total_time_for_analyzed_1000_deaths_after_burnin_std,total_time_for_analyzed_1000_deaths_after_burnin_min,total_time_for_analyzed_1000_deaths_after_burnin_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,t_zone_observed_deaths_mean,t_zone_observed_deaths_std,t_zone_observed_deaths_min,t_zone_observed_deaths_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,accepted_activations_total_mean,accepted_activations_total_std,accepted_activations_total_min,accepted_activations_total_max
T0p5_c0p01_ratio_50,5,5,5.0,0.5,0.01,50.0,1.0,2.5,1.2,2.0,0.8,0.0,23.85131003632822,1.379926310853486,22.0867525738432,25.267964570570747,42.039595697679886,2.446992680005457,39.57580347269785,45.27600862357083,435.8,19.715476154534034,408.0,461.0,0.43579999999999997,0.01971547615453405,0.408,0.461,0.9676809697505698,0.0771112278109066,0.8614864864864864,1.0691094619666044,0.6378919363785134,0.32512405186651055,0.15345588278668074,0.9907986355091236,2330.8,150.31367203285268,2170.0,2511.0,16922.0,991.2941036846734,15824.0,17976.0
T1e-1_c1e-2_ratio_1e1,5,5,5.0,0.1,0.01,10.0,1.0,2.5,1.2,2.0,0.8,0.0,24.520755621789704,1.8232806345789183,23.137963198656177,27.37710613040326,40.95376367132915,2.893775263264481,36.526870124138654,43.219015926954135,427.0,23.010866998007703,408.0,463.0,0.42699999999999994,0.023010866998007723,0.408,0.463,0.9344007481199572,0.09029808637337465,0.8614864864864864,1.0777467411545623,0.7559443680595359,0.367742773636137,0.1253387935439079,0.9907986355091236,2587.8,333.8183637848583,2307.0,3097.0,16926.0,1255.9492426049708,15299.0,18670.0
T1e-1_c1e-3_ratio_1e2,5,5,5.0,0.1,0.001,100.0,1.0,2.5,1.2,2.0,0.8,0.0,23.699848771572732,0.7111252908294542,22.97148627789047,24.72424225013067,42.224441966878416,1.2533870679198955,40.44613338937475,43.5322289512663,428.4,17.67201177002777,408.0,444.0,0.4284,0.017672011770027786,0.408,0.444,0.9385039662605476,0.06712032273289166,0.8614864864864864,0.9982014388489207,0.7517895479977712,0.23232667594204823,0.5234937600411222,0.9907986355091236,2477.8,183.97472652513986,2271.0,2672.0,16642.6,574.1213286405583,15769.0,17249.0
T1e-1_c1e-4_ratio_1e3,5,5,5.0,0.1,0.0001,1000.0,1.0,2.5,1.2,2.0,0.8,0.0,23.699848771572732,0.7111252908294542,22.97148627789047,24.72424225013067,42.224441966878416,1.2533870679198955,40.44613338937475,43.5322289512663,428.4,17.67201177002777,408.0,444.0,0.4284,0.017672011770027786,0.408,0.444,0.9385039662605476,0.06712032273289166,0.8614864864864864,0.9982014388489207,0.7517895479977712,0.23232667594204823,0.5234937600411222,0.9907986355091236,2477.8,183.97472652513986,2271.0,2672.0,16642.6,574.1213286405583,15769.0,17249.0
T1e-2_c1e-3_ratio_1e1,5,5,5.0,0.01,0.001,10.0,1.0,2.5,1.2,2.0,0.8,0.0,26.497109500447255,1.5292494975277795,24.22613080624208,28.304450769280468,37.84338439960684,2.2427695256880273,35.33013264067025,41.27774294615553,430.6,23.797058641773358,407.0,463.0,0.4306,0.023797058641773377,0.407,0.463,0.9484119202418786,0.09330331437569633,0.8579258010118042,1.0777467411545623,0.6912377004000125,0.3880365491500768,0.1253387935439079,0.9922717402795456,3625.4,854.4587760682197,2594.0,4424.0,18079.8,812.0656993125618,17258.0,18998.0
T1e-2_c1e-4_ratio_1e2,5,5,5.0,0.01,0.0001,100.0,1.0,2.5,1.2,2.0,0.8,0.0,25.89320956479164,1.197266259953466,24.22613080624208,27.242651459186057,38.68720113279394,1.81337773757458,36.70714656751247,41.27774294615553,423.8,15.706686474237653,407.0,447.0,0.42379999999999995,0.015706686474237667,0.407,0.447,0.920690943289425,0.059871130900516545,0.8579258010118042,1.0103978300180831,0.8351468458998756,0.22478101333605147,0.44750688322923493,0.9922717402795456,3553.0,782.2617848265375,2594.0,4405.0,17843.4,715.8483079535775,17258.0,18998.0
T1e-3_c1e-4_ratio_1e1,5,5,5.0,0.001,0.0001,10.0,1.0,2.5,1.2,2.0,0.8,0.0,24.964445303767494,2.1325492646514164,21.5494475028689,27.37763051976485,40.30774639293678,3.6802273944245023,36.526170490834325,46.40490202205272,422.6,8.23407554009556,412.0,434.0,0.4226,0.008234075540095568,0.412,0.434,0.9152298321796565,0.030926693419526294,0.8758503401360542,0.9584805653710246,0.900563851194016,0.08748221690449043,0.7567427050167727,0.9821885897732158,9666.4,4414.390875307713,4987.0,15358.0,17407.6,897.1286418346034,16009.0,18479.0
T0p5_c0p005_ratio_1e2_local_activation,5,5,5.0,0.5,0.005,100.0,1.0,5.0,3.0,2.0,0.8,1.0,488.14422861858947,11.226980991785249,471.5022881834876,500.9629978166836,2.0494502045634855,0.047583119126710004,1.9961554133902881,2.1208804815192,905.0,4.301162633521313,900.0,911.0,0.905,0.004301162633521317,0.9,0.911,11.92976016258738,0.604070048651363,11.249999999999996,12.794943820224718,4.553875787464007e-204,0.0,3.212407236322101e-215,2.259350268660129e-203,72454.4,1924.3719235116687,70041.0,75175.0,24744.2,398.6322867004127,24176.0,25065.0
T0p5_c0p0005_ratio_1e3_local_activation,5,5,5.0,0.5,0.0005,1000.0,1.0,5.0,3.0,2.0,0.8,1.0,494.2716924495254,19.16557592491312,477.1945291780073,516.5483147043014,2.025583535830955,0.07752485721885016,1.9359273305778781,2.095581442902442,909.6,16.349311912126453,885.0,928.0,0.9096,0.01634931191212647,0.885,0.928,12.927630776362658,2.4490018090991366,9.619565217391303,16.11111111111111,7.628575322455455e-189,0.0,7.911801379621607e-235,3.814287661227728e-188,73057.2,3763.072906548583,69764.0,77745.0,24799.4,820.5624900030466,24057.0,25691.0
T1e-1_c1e-4_ratio_1e3_local_activation,5,5,5.0,0.1,0.0001,1000.0,1.0,5.0,3.0,2.0,0.8,1.0,2338.413717123899,158.33828665479857,2168.8576609283527,2538.2598621843126,0.42920913273952815,0.028984831001361323,0.3939706942138875,0.46107221235162216,932.2,12.617448236470002,916.0,946.0,0.9321999999999999,0.012617448236469956,0.916,0.946,17.69156703120214,3.41238544978909,13.630952380952376,21.89814814814814,1.6354794251305057e-221,0.0,1.1876764826868842e-257,8.177396093904473e-221,345463.6,16773.700584546037,321720.0,364030.0,23866.2,976.4766766287867,22526.0,24915.0
